RES_ID,LOC,GENDER,AGE,WEIGHT,FREQUENCY,PRICE,WAIT_TIME,FOOD_PREFERENCE,MOOD,DISH CHOSEN,CUISINE,INGREDIENTS,DISH TYPE,ALLERGENS
k6DwKiyS,Mumbai,Male,36-45,61-75,Once in a month,500-750,20-30 min,Non-Vegetarian,Happy,litti chokha,North Indian,a baked salted wheat flour cake filled with sattu (baked chickpea flour) and some special spices,Vegetarian,Wheat
k6DwKiyS,Mumbai,Male,36-45,61-75,Once in a month,500-750,20-30 min,Non-Vegetarian,Happy,milk shake,Beverages & Desserts,"Milk, Sugar, Ice cream, Fruits",Vegetarian,Milk
k6DwKiyS,Mumbai,Male,36-45,61-75,Once in a month,500-750,20-30 min,Non-Vegetarian,Hungry,garlic bread,Continental/Italian,"Mozzarella cheese,italian bread,garlic powder",Vegetarian,
k6DwKiyS,Mumbai,Male,36-45,61-75,Once in a month,500-750,20-30 min,Non-Vegetarian,Hungry,spaghetti,Continental/Italian,"Semolina or flour, water",Both,
z2Dw8rOU,Hyderabad,Male,26-35,61-75,Every week,500-750,30-40 min,Non-Vegetarian,Depressed/Sad,kadai paneer,North Indian,Paneer and green peppers in tomato gravy,Vegetarian,
z2Dw8rOU,Hyderabad,Male,26-35,61-75,Every week,500-750,30-40 min,Non-Vegetarian,Depressed/Sad,shahi paneer,North Indian,"A popular Indian, as well as Punjabi and Nepalese dish, made with paneer in a thick cream and tomato gravy and spices",Vegetarian,
z2Dw8rOU,Hyderabad,Male,26-35,61-75,Every week,500-750,30-40 min,Non-Vegetarian,Binge Watching,double ka meetha,Beverages & Desserts,"Loaf bread, milk, Ghee",Vegetarian,Milk
z2Dw8rOU,Hyderabad,Male,26-35,61-75,Every week,500-750,30-40 min,Non-Vegetarian,Binge Watching,milk shake,Beverages & Desserts,"Milk, Sugar, Ice cream, Fruits",Vegetarian,Milk
bkDww4et,Mumbai,Male,26-35,46-60,Alternate Week,250-500,20-30 min,Non-Vegetarian,Stressed,chicken pasta salad,Continental/Italian,"fusilli (pasta twirls), broccoli (cut into small florets), cherry or baby tomatoes (cut in half), 1 x 198 gm tin of sweetcorn (drained), chicken (cooked, cut into small pieces), spring onions, olive oil, soy sauce, balsamic vinegar, runny honey, sugar, salt and freshly ground black pepper",Non-Vegetarian,Soy
bkDww4et,Mumbai,Male,26-35,46-60,Alternate Week,250-500,20-30 min,Non-Vegetarian,Stressed,spaghetti,Continental/Italian,"Semolina or flour, water",Both,
bkDww4et,Mumbai,Male,26-35,46-60,Alternate Week,250-500,20-30 min,Non-Vegetarian,Hungry,garlic bread,Continental/Italian,"Mozzarella cheese,italian bread,garlic powder",Vegetarian,
bkDww4et,Mumbai,Male,26-35,46-60,Alternate Week,250-500,20-30 min,Non-Vegetarian,Hungry,spaghetti,Continental/Italian,"Semolina or flour, water",Both,
TxDwSiae,Hyderabad,Male,26-35,61-75,Every week,250-500,30-40 min,Non-Vegetarian,Angry,masala dosa,South Indian,"Potato, Parbolied rice, Urad dal",Vegetarian,
TxDwSiae,Hyderabad,Male,26-35,61-75,Every week,250-500,30-40 min,Non-Vegetarian,Angry,bisi bele bath,South Indian,"Vegetable, Asafoetida, Curry tree, Pigeon pea, Tamarind, Masala, Nutmeg",Vegetarian,
PsDnZ2bC,Hyderabad,Male,26-35,61-75,Alternate Week,500-750,20-30 min,Non-Vegetarian,Stressed,upma,South Indian,Semolina,Vegetarian,
PsDnZ2bC,Hyderabad,Male,26-35,61-75,Alternate Week,500-750,20-30 min,Non-Vegetarian,Hungry,spring rolls,Chinese,"flour, egg, salt, water, milk, oil , cabbage, spring onions, shredded carrot, garlic, soya sauce, celery",Both,Eggs
PsDnZ2bC,Hyderabad,Male,26-35,61-75,Alternate Week,500-750,20-30 min,Non-Vegetarian,Hungry,hakka noodles,Chinese,"Noodles, Salt, Oil, Garlic paste, Ginger paste, Beans, Cabbage, Carrot, Spring onion, Capsicum, Soy sauce, Green chilli sauce, Tomato sauce",Vegetarian,Soy
OXDP8Slm,Hyderabad,Male,26-35,76-90,Alternate Week,500-750,30-40 min,Vegetarian,Happy,masala dosa,South Indian,"Potato, Parbolied rice, Urad dal",Vegetarian,
OXDP8Slm,Hyderabad,Male,26-35,76-90,Alternate Week,500-750,30-40 min,Vegetarian,Happy,poori,South Indian,"Salt, Wheat Flour, Atta flour, Vegetable Oil",Vegetarian,Wheat
OXDP8Slm,Hyderabad,Male,26-35,76-90,Alternate Week,500-750,30-40 min,Vegetarian,Angry,vegetarian pizza,Continental/Italian,"Readymade pizza bases, Can or jar of tomato sauce, enough to cover the pizza (about 2 cups), Dried oregano, Cheddar cheese, grated, Onion, Green pepper, Red pepper, Mushrooms",Vegetarian,
OXDP8Slm,Hyderabad,Male,26-35,76-90,Alternate Week,500-750,30-40 min,Vegetarian,Angry,baked pasta,Continental/Italian,"Any short pasta, Olive oil, Onion, Garlic (minced), Mixed bell peppers, Mushrooms, Spinach , Eggplant, Mixed olives, Green chillies, Tomato puree, Mixed cheese, Cream, Breadcrumbs, Butter (cut into cubes)",Vegetarian,Eggs
A6Dw2TSv,Bangalore,Male,26-35,76-90,Every week,250-500,20-30 min,Vegetarian,Stressed,chole bhature,North Indian,"Main course with Chick peas, assorted spices, wheat flour and bhatura yeast.",Vegetarian,Wheat
A6Dw2TSv,Bangalore,Male,26-35,76-90,Every week,250-500,20-30 min,Vegetarian,Stressed,dal tadka,North Indian,"Typical north Indian tadka,Assorted types of lentils, such as toor, urad, chana, masoor dal",Vegetarian,
A6Dw2TSv,Bangalore,Male,26-35,76-90,Every week,250-500,20-30 min,Vegetarian,Stressed,mixed vegetable,North Indian,"mixed vegetables, slow cooked with a tomato sauce added.",Vegetarian,
A6Dw2TSv,Bangalore,Male,26-35,76-90,Every week,250-500,20-30 min,Vegetarian,Angry,nachos,Continental/Italian,"Pinto beans,sour cream,corn,nachos",Both,corn
A6Dw2TSv,Bangalore,Male,26-35,76-90,Every week,250-500,20-30 min,Vegetarian,Angry,paneer burger,Continental/Italian,"Paneer,bread,cheese,curd,pav bhaji ,butter",Vegetarian,
MCDfji35,Bangalore,Female,36-45,76-90,Once in a month,Less than 250,30-40 min,Non-Vegetarian,Stressed,chicken burger,Continental/Italian,"Chicken, bread",Non-Vegetarian,
MCDfji35,Bangalore,Female,36-45,76-90,Once in a month,Less than 250,30-40 min,Non-Vegetarian,Stressed,paneer burger,Continental/Italian,"Paneer,bread,cheese,curd,pav bhaji ,butter",Vegetarian,
MCDfji35,Bangalore,Female,36-45,76-90,Once in a month,Less than 250,30-40 min,Non-Vegetarian,Stressed,veg burger,Continental/Italian,"Corn flakes,whole wheat,matat,tamato sauce",Vegetarian,Wheat
MCDfji35,Bangalore,Female,36-45,76-90,Once in a month,Less than 250,30-40 min,Non-Vegetarian,Stressed,white sauce pasta,Continental/Italian,"Penne Pasta,Pizza, butter, carrot,garlic",Vegetarian,
mODwbCPq,Kolkata,Male,26-35,105 above,Every week,250-500,20-30 min,Non-Vegetarian,Happy,chilli chicken,Chinese,"boneless Chicken (diced), Egg (slightly beaten), cornflour, garlic Paste, ginger Paste, salt , oil (to deep fry), onions, green Chillies, soy sauce (adjust according to strength), vinegar, green Chillies",Non-Vegetarian,Eggs
